0	-1.1711275647030561e-06
1	-1.1711414344972582e-06
2	-1.1711524621205172e-06
3	-1.1711625802490744e-06
4	-1.1711736078723334e-06
5	-1.1711865681718336e-06
6	-1.1712016885212506e-06
7	-1.1712169225575053e-06
8	-1.1712298828570056e-06
9	-1.1712397736118874e-06
10	-1.171248527498392e-06
11	-1.171257849819085e-06
12	-1.1712677405739669e-06
13	-1.1712777450156864e-06
14	-1.17128854526527e-06
15	-1.171301619251608e-06
16	-1.1713173080352135e-06
17	-1.1713335652530077e-06
18	-1.1713478897945606e-06
19	-1.171359144791495e-06
20	-1.1713680123648373e-06
21	-1.171376766251342e-06
22	-1.1713868843798991e-06
23	-1.1713977983163204e-06
24	-1.17140780275804e-06
25	-1.1714157608366804e-06
26	-1.171422468360106e-06
27	-1.1714303127519088e-06
28	-1.1714419088093564e-06
29	-1.1714589618350146e-06
30	-1.1714807897078572e-06
31	-1.171504550256941e-06
32	-1.1715256960087572e-06
33	-1.1715416121660382e-06
34	-1.1715526397892972e-06
35	-1.1715618484231527e-06
36	-1.1715716254911968e-06
37	-1.1715832215486444e-06
38	-1.1715974324033596e-06
39	-1.171614826489531e-06
40	-1.1716355174939963e-06
41	-1.171658141174703e-06
42	-1.1716799690475455e-06
43	-1.17169770419423e-06
44	-1.1717100960595417e-06
45	-1.1717179404513445e-06
46	-1.1717235111063928e-06
47	-1.1717286270140903e-06
48	-1.1717341976691387e-06
49	-1.171740223071538e-06
50	-1.1717461347870994e-06
51	-1.1717523875631741e-06
52	-1.1717590950865997e-06
53	-1.171766712104727e-06
54	-1.171776148112258e-06
55	-1.1717877441697055e-06
56	-1.171801045529719e-06
57	-1.1718145742634078e-06
58	-1.1718273071892327e-06
59	-1.171838221125654e-06
60	-1.1718469750121585e-06
61	-1.1718547057171236e-06
62	-1.1718628911694395e-06
63	-1.1718723271769704e-06
64	-1.1718821042450145e-06
65	-1.1718907444446813e-06
66	-1.1718981340891332e-06
67	-1.1719063195414492e-06
68	-1.1719175745383836e-06
69	-1.1719338317561778e-06
70	-1.1719547501343186e-06
71	-1.1719789654307533e-06
72	-1.1720043175955652e-06
73	-1.1720279644578113e-06
74	-1.1720476322807372e-06
75	-1.1720625252564787e-06
76	-1.1720736665665754e-06
77	-1.1720828752004309e-06
78	-1.1720917427737731e-06
79	-1.1721001555997645e-06
80	-1.1721070904968656e-06
81	-1.1721119790308876e-06
82	-1.1721164128175587e-06
83	-1.1721231203409843e-06
84	-1.172134261651081e-06
85	-1.1721497230610112e-06
86	-1.1721666623998317e-06
87	-1.1721809869413846e-06
88	-1.1721907640094287e-06
89	-1.1721965620381525e-06
90	-1.172200882137986e-06
91	-1.1722063391061965e-06
92	-1.1722140698111616e-06
93	-1.172223733192368e-06
94	-1.1722341923814383e-06
95	-1.1722455610652105e-06
96	-1.1722580666173599e-06
97	-1.172271936411562e-06
98	-1.172287397821492e-06
99	-1.1723036550392862e-06
100	-1.1723185480150278e-06
101	-1.1723295756382868e-06
102	-1.172336055788037e-06
103	-1.1723395800800063e-06
104	-1.1723416264430853e-06
105	-1.1723424222509493e-06
106	-1.172342990685138e-06
107	-1.1723457191692432e-06
108	-1.1723536772478838e-06
109	-1.1723687975973007e-06
110	-1.1723909665306564e-06
111	-1.1724179103111965e-06
112	-1.1724455362127628e-06
113	-1.1724702062565484e-06
114	-1.1724890782716102e-06
115	-1.172501015389571e-06
116	-1.1725068134182948e-06
117	-1.1725090871550492e-06
118	-1.1725118156391545e-06
119	-1.1725173862942029e-06
120	-1.1725257991201943e-06
121	-1.1725352351277252e-06
122	-1.1725448985089315e-06
123	-1.1725552440111642e-06
124	-1.1725674085028004e-06
125	-1.1725812782970024e-06
126	-1.1725958302122308e-06
127	-1.1726086768248933e-06
128	-1.1726176580850733e-06
129	-1.1726212960638804e-06
130	-1.1726212960638804e-06
131	-1.1726209550033673e-06
132	-1.1726234561137971e-06
133	-1.1726307320714113e-06
134	-1.1726432376235607e-06
135	-1.172661086457083e-06
