file_name,num_plateaus,mean_force,std_force,total_time,pl_threshold,dy_smooth
fcurve_thp1_cell1_ret_300ums__2025.07.01_16.49.19.87.tdms,7,1.2631714058185783e-10,1.0582586181032972e-10,0.15883999999999998,1.5000000000000002e-07,5
fcurve_thp1_cell1_ret_300ums__2025.07.01_16.48.33.42.tdms,7,1.2977066620059315e-10,1.090729117907804e-10,0.25661999999999996,1.5000000000000002e-07,5
fcurve_thp1_cell1_ret_300ums__2025.07.01_16.49.18.29.tdms,6,1.437529057418441e-10,8.990216752407697e-11,0.13028,1.5000000000000002e-07,7
fcurve_thp1_cell1_ret_300ums__2025.07.01_16.48.39.73.tdms,7,9.358322259255068e-11,5.3810425030955366e-11,0.12549999999999997,1.5000000000000002e-07,5
fcurve_thp1_cell1_ret_300ums__2025.07.01_16.49.42.95.tdms,7,8.482194233743566e-11,5.604986592871281e-11,0.13785999999999998,1.5000000000000002e-07,5
